segment_id,chord_type,rootoffset,globalkey
0,m,0,c
1,Mm7,1,c
2,m,0,c
3,M,1,c
4,m,0,c
5,M,1,c
6,m,0,c
7,o7,0,c
8,M,2,c
9,It,0,c
10,M,2,c
11,m,1,c
12,Mm7,0,c
13,m,5,c
14,Mm7,3,c
15,M,2,c
16,m,5,c
17,%7,2,c
18,It,5,c
19,M,1,c
20,m,0,c
21,Mm7,0,c
22,mm7,5,c
23,M,0,c
24,m,5,c
25,It,5,c
26,M,1,c
27,m,0,c
28,M,1,c
29,Mm7,2,c
30,M,1,c
31,o,2,c
32,M,2,c
33,Mm7,2,c
34,o7,1,c
35,m,3,c
36,o7,1,c
37,M,1,c
38,m,3,c
39,M,2,c
40,Mm7,2,c
41,M,1,c
42,M,2,c
43,Mm7,3,c
44,M,2,c
45,Mm7,2,c
46,M,1,c
47,M,2,c
48,Mm7,3,c
49,M,2,c
50,Mm7,2,c
51,mm7,5,c
52,M,2,c
53,Mm7,2,c
54,M,1,c
55,Mm7,2,c
56,M,1,c
57,o,2,c
58,M,2,c
59,Mm7,2,c
60,Mm7,5,c
61,m,3,c
62,o,1,c
63,Mm7,2,c
64,M,1,c
65,+,1,c
66,M,2,c
67,m,3,c
68,Mm7,2,c
69,m,0,c
70,Mm7,1,c
71,m,0,c
72,M,1,c
73,m,0,c
74,M,1,c
75,m,0,c
76,o7,0,c
77,M,2,c
78,It,0,c
79,M,2,c
80,m,1,c
81,m,0,c
82,Mm7,1,c
83,m,0,c
84,M,1,c
85,m,0,c
86,M,1,c
87,m,0,c
88,o7,0,c
89,m,1,c
90,M,2,c
91,Mm7,1,c
92,Mm7,2,c
93,m,1,c
94,M,0,c
95,Mm7,0,c
96,m,5,c
97,Mm7,3,c
98,M,2,c
99,m,5,c
100,%7,2,c
101,It,5,c
102,M,1,c
103,m,0,c
104,Mm7,0,c
105,mm7,5,c
106,M,0,c
107,m,5,c
108,It,5,c
109,M,1,c
110,m,0,c
111,Mm7,0,c
112,m,5,c
113,Mm7,3,c
114,M,2,c
115,M,1,c
116,Ger,5,c
117,M,1,c
118,Mm7,1,c
119,m,0,c
120,o,3,c
121,m,0,c
122,Mm7,0,c
123,mm7,5,c
124,M,0,c
125,m,5,c
126,%7,2,c
127,M,1,c
128,Mm7,1,c
129,m,0,c
130,M,0,c
131,M,5,c
132,M,0,c
133,M,5,c
134,M,2,c
135,m,2,c
136,M,0,c
137,o,3,c
138,m,1,c
139,M,2,c
140,Mm7,2,c
141,M,1,c
142,M,2,c
143,M,1,c
144,M,0,c
145,M,1,c
146,M,0,c
147,Mm7,1,c
148,M,0,c
149,M,5,c
