segment_id,chord_type,rootoffset,globalkey
0,M,0,F
1,Mm7,1,F
2,M,1,F
3,mm7,3,F
4,M,0,F
5,Mm7,1,F
6,M,1,F
7,M,0,F
8,Mm7,1,F
9,M,1,F
10,m,3,F
11,M,1,F
12,M,0,F
13,m,3,F
14,M,1,F
15,M,0,F
16,Mm7,1,F
17,mm7,3,F
18,M,0,F
19,M,5,F
20,Mm7,1,F
21,M,1,F
22,M,0,F
23,Mm7,1,F
24,M,1,F
25,mm7,3,F
26,m,3,F
27,M,1,F
28,M,0,F
29,Mm7,0,F
30,M,1,F
31,M,0,F
32,%7,5,F
33,M,1,F
34,m,3,F
35,m,0,F
36,o,5,F
37,M,2,F
38,o7,5,F
39,M,0,F
40,%7,5,F
41,M,1,F
42,o7,5,F
43,o,5,F
44,M,0,F
45,m,2,F
46,M,1,F
47,m,3,F
48,M,0,F
49,m,2,F
50,M,0,F
51,m,2,F
52,m,3,F
53,M,1,F
54,M,0,F
55,Mm7,0,F
56,M,5,F
57,M,0,F
58,M,5,F
59,M,0,F
60,m,1,F
61,M,3,F
62,%7,5,F
63,o,0,F
64,m,2,F
65,M,0,F
66,MM7,5,F
67,m,2,F
68,Mm7,1,F
69,M,0,F
70,M,1,F
71,M,0,F
72,Mm7,0,F
73,M,5,F
74,M,0,F
75,Mm7,1,F
76,M,0,F
77,o7,0,F
78,m,2,F
79,Mm7,1,F
80,M,0,F
81,Mm7,1,F
82,M,0,F
83,Mm7,1,F
84,M,0,F
85,MM7,5,F
86,M,5,F
87,M,1,F
88,Mm7,1,F
89,M,1,F
90,Mm7,1,F
91,M,1,F
92,Mm7,1,F
93,M,5,F
94,o,5,F
95,M,0,F
96,Mm7,1,F
97,M,0,F
98,Mm7,1,F
99,M,5,F
100,o,5,F
101,M,0,F
102,Mm7,1,F
103,M,0,F
104,Mm7,1,F
105,M,5,F
106,o,5,F
107,M,0,F
108,Mm7,1,F
109,M,0,F
110,Mm7,1,F
111,M,5,F
112,o,5,F
113,M,0,F
114,mm7,2,F
115,M,0,F
116,Mm7,1,F
117,M,0,F
118,M,1,F
119,Mm7,1,F
120,M,0,F
121,m,2,F
122,m,4,F
123,M,5,F
124,M,1,F
125,M,5,F
126,m,3,F
127,M,5,F
128,M,0,F
129,M,5,F
130,m,3,F
131,M,5,F
132,M,1,F
133,M,3,F
134,M,2,F
135,Mm7,3,F
136,M,2,F
137,Mm7,2,F
138,Mm7,5,F
139,M,5,F
140,Mm7,5,F
141,M,5,F
142,M,4,F
143,Mm7,5,F
144,M,5,F
145,Mm7,5,F
146,M,4,F
147,mm7,0,F
148,M,5,F
149,Mm7,5,F
150,M,5,F
151,Mm7,5,F
152,M,3,F
153,o,2,F
154,M,4,F
155,Mm7,5,F
156,M,4,F
157,Mm7,5,F
158,M,4,F
159,Mm7,5,F
160,M,4,F
161,Mm7,5,F
162,M,4,F
163,Mm7,5,F
164,M,4,F
165,Mm7,5,F
166,M,4,F
167,Mm7,5,F
168,M,4,F
169,m,0,F
170,M,0,F
171,m,0,F
172,M,0,F
173,Mm7,1,F
174,M,1,F
175,mm7,3,F
176,Mm7,1,F
177,M,1,F
178,M,0,F
179,Mm7,1,F
180,M,1,F
181,m,3,F
182,M,1,F
183,M,0,F
184,m,3,F
185,M,1,F
186,M,0,F
187,Mm7,1,F
188,mm7,3,F
189,M,0,F
190,M,5,F
191,Mm7,1,F
192,M,1,F
193,M,0,F
194,Mm7,1,F
195,M,1,F
196,mm7,3,F
197,m,3,F
198,M,1,F
199,M,0,F
200,Mm7,0,F
201,M,1,F
202,M,0,F
203,%7,5,F
204,M,1,F
205,m,3,F
206,m,0,F
207,%7,5,F
208,M,2,F
209,o7,5,F
210,M,0,F
211,%7,5,F
212,M,2,F
213,M,1,F
214,o,5,F
215,M,0,F
216,m,2,F
217,m,3,F
218,m,2,F
219,M,0,F
220,m,2,F
221,M,1,F
222,M,0,F
223,Mm7,0,F
224,M,5,F
225,M,0,F
226,m,1,F
227,M,3,F
228,%7,5,F
229,o,0,F
230,m,2,F
231,o,5,F
232,M,0,F
233,MM7,5,F
234,m,2,F
235,Mm7,1,F
236,M,0,F
237,M,1,F
238,M,0,F
239,Mm7,0,F
240,M,5,F
241,Mm7,1,F
242,M,0,F
243,o7,0,F
244,m,2,F
245,Mm7,1,F
246,M,0,F
247,Mm7,1,F
248,M,1,F
249,M,0,F
250,Mm7,1,F
251,M,0,F
252,M,5,F
253,m,2,F
254,M,1,F
255,Mm7,1,F
256,M,1,F
257,Mm7,1,F
258,M,1,F
259,Mm7,1,F
260,M,5,F
261,o,5,F
262,M,0,F
263,Mm7,1,F
264,M,0,F
265,Mm7,1,F
266,M,5,F
267,o,5,F
268,M,0,F
269,Mm7,1,F
270,M,0,F
271,Mm7,1,F
272,M,5,F
273,o,5,F
274,M,0,F
275,Mm7,1,F
276,M,0,F
277,Mm7,1,F
278,M,5,F
279,o,5,F
280,M,0,F
