segment_id,chord_type,rootoffset,globalkey
0,o7,5,C
1,Mm7,5,C
2,m,3,C
3,Mm7,2,C
4,M,1,C
5,Mm7,2,C
6,%7,2,C
7,o7,5,C
8,Mm7,5,C
9,M,4,C
10,o7,5,C
11,o7,4,C
12,Mm7,0,C
13,m,0,C
14,Mm7,2,C
15,%7,2,C
16,o7,5,C
17,m,5,C
18,o7,5,C
19,Mm7,1,C
20,M,0,C
21,Mm7,1,C
22,o,5,C
23,M,0,C
24,m,2,C
25,Mm7,3,C
26,o,0,C
27,m,2,C
28,Mm7,0,C
29,Mm7,1,C
30,M,0,C
31,M,5,C
32,o,5,C
33,M,0,C
34,M,5,C
35,o,5,C
36,M,0,C
37,Mm7,3,C
38,m,2,C
39,Mm7,3,C
40,m,2,C
41,M,1,C
42,Mm7,1,C
43,M,0,C
44,M,5,C
45,M,0,C
46,Mm7,1,C
47,M,0,C
48,Mm7,1,C
49,M,0,C
50,M,5,C
51,M,1,C
52,Mm7,1,C
53,M,0,C
54,Mm7,1,C
55,M,0,C
56,Mm7,1,C
57,M,0,C
58,Mm7,1,C
59,M,0,C
60,o7,5,C
61,m,2,C
62,Mm7,1,C
63,M,0,C
64,o7,5,C
65,m,2,C
66,Mm7,1,C
67,M,0,C
68,m,3,C
69,Mm7,4,C
70,o,1,C
71,Mm7,4,C
72,m,3,C
73,Mm7,5,C
74,m,3,C
75,%7,3,C
76,Mm7,2,C
77,%7,3,C
78,Mm7,2,C
79,%7,3,C
80,Mm7,2,C
81,%7,3,C
82,Mm7,2,C
83,%7,3,C
84,Mm7,2,C
85,%7,3,C
86,Mm7,2,C
87,M,1,C
88,M,2,C
89,M,1,C
90,M,0,C
91,M,4,C
92,m,3,C
93,Mm7,2,C
94,M,1,C
95,M,0,C
96,M,2,C
97,Mm7,2,C
98,M,1,C
99,M,2,C
100,M,1,C
101,M,4,C
102,m,3,C
103,Mm7,2,C
104,Mm7,4,C
105,m,3,C
106,M,4,C
107,m,3,C
108,Mm7,5,C
109,m,4,C
110,Mm7,5,C
111,m,4,C
112,Mm7,1,C
113,M,0,C
114,m,3,C
115,M,2,C
116,Mm7,2,C
117,M,1,C
118,Mm7,5,C
119,m,4,C
120,o7,1,C
121,m,3,C
122,o,1,C
123,m,3,C
124,M,2,C
125,Mm7,2,C
126,M,2,C
127,Mm7,2,C
128,M,2,C
129,Mm7,2,C
130,M,1,C
131,M,2,C
132,M,1,C
133,Mm7,2,C
134,M,1,C
135,mm7,3,C
136,M,1,C
137,m,3,C
138,Mm7,2,C
139,M,1,C
140,Mm7,2,C
141,M,1,C
142,Mm7,4,C
143,m,3,C
144,Mm7,4,C
145,m,3,C
146,Mm7,1,C
147,M,0,C
148,Mm7,2,C
149,M,1,C
150,Mm7,2,C
151,M,1,C
152,M,0,C
153,M,1,C
154,mm7,3,C
155,Mm7,2,C
156,M,1,C
157,Mm7,2,C
158,M,1,C
159,M,0,C
160,M,1,C
161,Mm7,2,C
162,M,1,C
163,M,0,C
164,m,2,C
165,M,4,C
166,o7,0,C
167,o,1,C
168,M,4,C
169,Mm7,5,C
170,o,2,C
171,M,4,C
172,o,2,C
173,Mm7,5,C
174,M,4,C
175,Mm7,5,C
176,o7,0,C
177,M,5,C
178,mm7,0,C
179,M,5,C
180,M,4,C
181,Mm7,5,C
182,M,4,C
183,o7,0,C
184,M,5,C
185,o7,3,C
186,M,5,C
187,M,4,C
188,o,4,C
189,m,5,C
190,o,4,C
191,Mm7,0,C
192,m,5,C
193,Mm7,0,C
194,m,4,C
195,o,2,C
196,m,4,C
197,o,2,C
198,m,4,C
199,o,5,C
200,o7,3,C
201,M,5,C
202,m,4,C
203,Mm7,0,C
204,M,5,C
205,Mm7,0,C
206,M,5,C
207,Mm7,0,C
208,M,5,C
209,Mm7,2,C
210,m,1,C
211,Mm7,0,C
