segment_id,chord_type,rootoffset,globalkey
0,M,0,A
1,M,1,A
2,M,0,A
3,M,1,A
4,M,0,A
5,m,3,A
6,o,5,A
7,M,2,A
8,Mm7,2,A
9,M,1,A
10,M,0,A
11,M,2,A
12,m,3,A
13,M,2,A
14,M,1,A
15,M,0,A
16,M,1,A
17,M,0,A
18,M,1,A
19,M,0,A
20,m,3,A
21,o,5,A
22,M,2,A
23,Mm7,2,A
24,M,1,A
25,m,4,A
26,M,2,A
27,m,3,A
28,Mm7,2,A
29,M,1,A
30,o,5,A
31,M,0,A
32,Mm7,1,A
33,o,5,A
34,M,0,A
35,Mm7,1,A
36,o7,1,A
37,m,3,A
38,m,4,A
39,Ger,3,A
40,M,5,A
41,m,4,A
42,o7,2,A
43,M,5,A
44,Mm7,5,A
45,m,4,A
46,M,0,A
47,M,1,A
48,M,0,A
49,M,1,A
50,M,0,A
51,m,3,A
52,o,5,A
53,M,2,A
54,Mm7,2,A
55,m,1,A
56,M,0,A
57,M,5,A
58,M,0,A
59,M,5,A
60,M,0,A
61,Mm7,0,A
62,M,5,A
63,M,0,A
64,M,5,A
65,M,0,A
66,Mm7,0,A
67,M,5,A
68,m,2,A
69,Mm7,1,A
70,M,0,A
71,M,5,A
72,mm7,3,A
73,M,5,A
74,m,2,A
75,Mm7,1,A
76,M,0,A
77,Mm7,1,A
78,M,0,A
79,Mm7,1,A
80,M,0,A
81,Mm7,1,A
82,M,0,A
83,mm7,2,A
84,Mm7,1,A
85,M,0,A
86,Mm7,1,A
87,M,0,A
88,m,0,A
89,M,1,A
90,o7,0,A
91,M,2,A
92,Mm7,2,A
93,M,1,A
94,M,0,A
95,M,1,A
96,M,0,A
97,Mm7,1,A
98,mm7,3,A
99,M,1,A
100,M,0,A
101,M,1,A
102,o,5,A
103,M,1,A
104,M,0,A
105,M,1,A
106,M,0,A
107,Mm7,1,A
108,mm7,3,A
109,M,1,A
110,M,0,A
111,M,1,A
112,mm7,3,A
113,M,1,A
114,Mm7,1,A
115,M,0,A
116,Mm7,1,A
117,M,0,A
118,Mm7,0,A
119,M,5,A
120,m,2,A
121,Mm7,1,A
122,M,1,A
123,Mm7,1,A
124,M,0,A
