segment_id,chord_type,rootoffset,globalkey
0,M,0,Ab
1,M,2,Ab
2,o7,5,Ab
3,M,0,Ab
4,M,5,Ab
5,Mm7,1,Ab
6,M,0,Ab
7,M,1,Ab
8,M,0,Ab
9,o7,1,Ab
10,M,5,Ab
11,M,4,Ab
12,m,3,Ab
13,M,2,Ab
14,Mm7,2,Ab
15,M,1,Ab
16,Mm7,1,Ab
17,M,0,Ab
18,M,1,Ab
19,M,0,Ab
20,mm7,2,Ab
21,Mm7,0,Ab
22,M,5,Ab
23,Mm7,0,Ab
24,M,5,Ab
25,Mm7,0,Ab
26,M,5,Ab
27,M,3,Ab
28,Mm7,3,Ab
29,M,3,Ab
30,Mm7,3,Ab
31,m,2,Ab
32,o,0,Ab
33,m,2,Ab
34,Mm7,1,Ab
35,M,0,Ab
36,M,5,Ab
37,M,1,Ab
38,M,0,Ab
39,M,5,Ab
40,m,2,Ab
41,mm7,2,Ab
42,M,1,Ab
43,m,3,Ab
44,M,1,Ab
45,M,0,Ab
46,M,5,Ab
47,m,2,Ab
48,mm7,2,Ab
49,M,1,Ab
50,M,5,Ab
51,M,1,Ab
52,M,0,Ab
53,m,2,Ab
54,M,1,Ab
55,Mm7,1,Ab
56,M,0,Ab
57,m,0,Ab
58,%7,5,Ab
59,m,0,Ab
60,M,1,Ab
61,m,1,Ab
62,Mm7,5,Ab
63,M,4,Ab
64,Mm7,4,Ab
65,m,3,Ab
66,M,5,Ab
67,Ger,3,Ab
68,o7,3,Ab
69,M,5,Ab
70,Mm7,5,Ab
71,M,4,Ab
72,o7,2,Ab
73,M,4,Ab
74,o7,2,Ab
75,M,4,Ab
76,o7,4,Ab
77,Mm7,0,Ab
78,m,5,Ab
79,o7,5,Ab
80,Mm7,1,Ab
81,m,0,Ab
82,o,5,Ab
83,Ger,5,Ab
84,M,1,Ab
85,o7,5,Ab
86,Mm7,1,Ab
87,m,3,Ab
88,M,1,Ab
89,M,0,Ab
90,M,3,Ab
91,m,2,Ab
92,M,3,Ab
93,m,2,Ab
94,M,4,Ab
95,m,2,Ab
96,Mm7,2,Ab
97,Mm7,1,Ab
98,m,0,Ab
99,M,0,Ab
100,M,5,Ab
101,M,0,Ab
102,%7,5,Ab
103,o7,1,Ab
104,M,0,Ab
105,M,5,Ab
106,M,0,Ab
107,Mm7,1,Ab
108,M,0,Ab
109,o7,1,Ab
110,M,5,Ab
111,Mm7,4,Ab
112,m,3,Ab
113,M,2,Ab
114,Mm7,2,Ab
115,M,1,Ab
116,Mm7,1,Ab
117,M,0,Ab
118,Mm7,1,Ab
119,M,0,Ab
120,m,3,Ab
121,Mm7,0,Ab
122,M,5,Ab
123,M,0,Ab
124,M,5,Ab
125,Mm7,3,Ab
126,m,2,Ab
127,Mm7,1,Ab
128,M,0,Ab
129,M,5,Ab
130,M,1,Ab
131,Mm7,1,Ab
132,M,0,Ab
133,M,5,Ab
134,Mm7,1,Ab
135,M,0,Ab
136,M,5,Ab
137,Mm7,1,Ab
138,M,0,Ab
139,mm7,2,Ab
140,Mm7,1,Ab
141,M,0,Ab
142,Mm7,0,Ab
143,M,5,Ab
144,Mm7,0,Ab
145,M,5,Ab
146,m,2,Ab
147,M,0,Ab
148,Mm7,0,Ab
149,M,5,Ab
150,Mm7,0,Ab
151,M,5,Ab
152,Mm7,3,Ab
153,m,2,Ab
154,M,3,Ab
155,m,2,Ab
156,o,2,Ab
157,M,0,Ab
158,M,1,Ab
159,Mm7,1,Ab
160,M,0,Ab
161,m,0,Ab
162,Mm7,1,Ab
163,m,0,Ab
164,M,1,Ab
165,m,0,Ab
166,m,5,Ab
167,M,1,Ab
168,mm7,5,Ab
169,M,1,Ab
170,m,0,Ab
171,M,1,Ab
172,M,5,Ab
173,M,4,Ab
174,M,5,Ab
175,M,4,Ab
176,m,0,Ab
177,M,3,Ab
178,M,1,Ab
179,M,3,Ab
180,M,1,Ab
181,Mm7,1,Ab
182,M,0,Ab
183,o,5,Ab
184,Mm7,1,Ab
185,M,0,Ab
186,M,5,Ab
187,M,0,Ab
188,M,1,Ab
189,M,0,Ab
190,o,5,Ab
191,M,4,Ab
192,m,2,Ab
